Job_position,Company,Location,Salary,requirements,rating,experience,posting_frequency
Data Scientist - Machine Learning,Blue Yonder,"Bengaluru, Karnataka",-999,"Working knowledge of data science and machine learning foundations.Under guidance, or independently, design and implement machine learning models by.",0,,1
Data Scientist & AI Expert,Siemens Technology and Services Private Limited,"Gurgaon, Haryana",-999,"Proven experience as a Data Scientist or Data Analyst Experience, Understanding of machine-learning and operations research,.The world never stands still.",4,,1
Data Developer and Machine Learning Analyst,NetApp,"Bengaluru, Karnataka",-999,Are you excited about data analytics & deriving insights from petabytes of data using modern machine learning techniques?,4.1,,1
Data Scientist,Reverenc Technologies Pvt Ltd,"Pune, Maharashtra","15,000 - 20,000 a month",Reverenc Technologies Looking for Data scientist with Machine learning and Artificial Intelligence application knowledge.Data scientist : 1 year (Preferred).,0,,1
Manager Data Scientist - Machine Learning/NLP/NLU/Python,Softobiz Technologies,"Mohali, Punjab",-999,"Familiarity with one or more Deep learning software frameworks such as Tensorflow, PyTorch.Design, develop and deliver AI/machine learning enabled solutions…",3.4,,1
wanted freshers as software engineers,STC Technologies,"Ernakulam, Kerala","10,000 - 25,000 a month","Sanitising, disinfecting, or cleaning procedures in place.Candidates who did their graduation in BCA/Bsc/MCA/Msc in Computer science,IT.",4.1,Bachelor's,1
Data Scientist,AlpsLogic IT Solutions,"Gandhinagar, Gujarat",-999,"3 – 5 years of relevant professional experience in an autonomous data analytics or data science role.Knowledge of statistics, computer science and machine…",0,,1
Data Scientist,Barclays,"Pune, Maharashtra",-999,"Ability to understand the infrastructure, team involved and be able to provide solutions either individually or working with teams.What will you be doing?",3.9,,1
BO Developer & Admin,Iris Software,India,-999,"Start / Stop / Restart BO app , web servers or Services if the BI Launchpad or any other BO service is unavailable.Performance tune the webi report.",2.7,,1
Data Scientist-Metals Digital,ABB,"Bengaluru, Karnataka",-999,Required 3+ years of implementation experience of software or digital solutions in manufacturing sector preferably in metals industry.,4,,1
Data Entry Operator Freshers,KCM Software Pvt Ltd,"Hadapsar, Pune, Maharashtra","15,000 - 26,000 a month","Data entry: 1 year (Preferred).Knowledge of computer operating systems and MS Office software.We Are Looking For Data Entry Operator In Hadapsar, Pune,…",0,,1
Online Lecturer for Data Science,LINC Education Services Pte. Ltd. (Singapore),"Pune, Maharashtra","30,000 - 50,000 a month",5-10 years of corporate experience and/or teaching experience in the field of Data Science/Business Analytics at a leading university or college.,0,,1
Software Developer,F9DGO Technologies,"Noida, Uttar Pradesh","20,000 - 30,000 a month","Looking for a full time developer who has good knowledge of WordPress, HTML and PHP.Salary: ₹20,000.00 - ₹30,000.00 per month.Total work: 3 years (Required).",0,.Net: 3 yearsWork: 3 yearsTotal work: 3 years,1
Java/J2EE Developer,SDG Software India,"Noida, Uttar Pradesh","6,00,000 a year",Best in-market compensation & learning experience.SDG Software India Private Limited (www.sdgc.com) is HIRING for Java Developers.,0,Java: 4 yearsBachelor's,1
Sr. Data Scientist,Insisiv Labs,"Bengaluru, Karnataka","1,25,852 - 2,00,000 a month","Collaborate with other data scientists and data analysts to build, tune, and optimize machine learning models to solve tangible problems in medical domain.",0,Work: 3 yearsBachelor's,1
Software Developer,M&B Technologies PVT ltd,Remote,-999,Software development: 1 year (Required).Unity or WebGL with C#: 1 year (Preferred).M&B Technologies is a fast paced startup company ready for taking on the…,0,Software development: 1 yearBachelor's,1
Machine Learning Developer,QuEST Global Engineering,"Hyderabad, Telangana",-999,"Knowledge of data pre-processing steps uploading, creating master data set, extracting right data from external.Knowledge of Spark or Hadoop is a plus.",3.3,,1
Software Development Internship,Jarvis Technology And Strategy Consulting,"Delhi, Delhi","20,000 a month",Integrate data storage and data processing solutions 9.Only those students or freshers can apply who:Have already graduated or are currently in any year of…,0,,1
Unity Developer,WebCoir IT Solutions Pvt Ltd,"Noida, Uttar Pradesh","3,60,000 a year","Noida, nearby candidates or who can relocate only apply.Prior experience with a well-known mobile title or AAA titles, significant asset.",0,Software Development: 2 yearsCharacter and Motion Creation: 2 yearsUnity Game Development: 2 years,1
Intern - Software Engineering - NLP/AI,Qwerty Thoughts Media Pvt Ltd,"Urban Estate Gurgaon, Haryana","1,000 a month","We at Qwerty Thoughts are reimagining the future of books and the publishing industry by applying advance Machine Learning, Artificial Intelligence (AI),…",0,,1
DATA SCIENTIST / MACHINE LEARNING EXPERT,Spectrus,"Bengaluru, Karnataka",-999,"Excellent understanding of Machine learning techniques and algorithms.Good applied statistics skills, such as distributions, statistical testing, regression,…",0,,1
Jr. Software Developer - Machine Learning / Artificial Intel...,V2Solutions,"Navi Mumbai, Maharashtra",-999,"Understanding of data structures, data modelling and software architecture.Bachelor’s Degree from an accredited university in Computer Engineering, Computer…",3.7,,1
HTML Developer,Professional Manpower Services,"Noida, Uttar Pradesh","20,000 - 55,000 a month","NET, Javascript or Ruby on Rails.BS in computer science or a related field. Proven working experience in web programming.CSS/CSS3: 2 years (Preferred).",0,,1
Data Scientist-(H/F),Société Générale,"Bengaluru, Karnataka",-999,"Design and implement scalable predictive models, classifiers leveraging machine learning, data regression.Should have good awareness on entire machine learning…",3.9,,1
Web Developer Internship (virtual),Bluetick Consultants LLP,"Bengaluru, Karnataka","15,000 a month","We are looking for a web developer who can help us lay down the foundation of each pixel in an innovative way for our customers.Salary: ₹15,000.00 per month.",0,,1
Data Scientist,Team Computers,"Delhi, Delhi",-999,Understand the high level problem and provide set of solutions to solve it using machine learning or otherwise.Model to predict NPA’s/ Bad debts.,3.7,,1
Data Scientist,Eaton,"Hadapsar, Pune, Maharashtra",-999,Advanced degree and/or specialization in related descipline (e.g. machine learning).Masters in Data Science or Pursuing PhD in Datascience or equivalent.,3.8,,1
Data Scientist,sybill,Remote,-999,"2+ years of experience as a data scientist, machine learning engineer, ML research engineer, NLP engineer or in a related role.",0,,1
Data Scientist,Nutanix,"Bengaluru, Karnataka",-999,Develop custom data models and algorithms to apply to data sets.We’re looking for someone with 4-8 years of experience manipulating data sets and building…,3.9,,1
Machine Learning Researcher,Graviton Research Capital LLP,"Gurgaon, Haryana",-999,Lead independent research in applying machine learning to a wide variety of datasets and trading problems.Experience with software engineering in Python / C++.,0,,1
Computer Vision Research Engineer - Machine Learning,Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",-999,"Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking.",4,,1
Full Stack Developer,BCT Pvt Ltd,"Delhi, Delhi","40,000 - 70,000 a month",Btech or BSC from Top University or a self-made programmer with great freelancing experience.Good understanding of Mobile App Development using Flutter or…,0,Total work: 1 year,1
Software Developer,Conneqt Business Solutions Limited,"Jamshedpur, Jharkhand","20,000 a month","Personal protective equipment provided or required.Sanitising, disinfecting, or cleaning procedures in place.Official Job Location: Jamshedpur(Jharkhand).",3.7,.Net app developement with asp.Net: HTML: Bootstrap: JavaS: 2 years.Net: 1 yearJavascript: 2 years,1
Data Scientist 2-GoFood-Bangalore,GO-JEK,"Bengaluru, Karnataka",-999,Design and develop various machine learning solutions for improving search relevance.At least 5 years of experience in building machine learning models for…,0,,1
Junior Java Developer,RealCoderZ Technologies Pvt Ltd,"Noida, Uttar Pradesh","15,000 - 25,000 a month","Has knowledge or relevant work experience in any of the following programming languages or technologies: Java/J2EE, C++, C, XML/XHTML or CGI-Python .",0,,1
Software Engineer - Java Developer,Success Numbers,"Noida, Uttar Pradesh","2,00,000 - 10,00,000 a year","Sky is the limit for learning and earning.Looking for smart Java Developer who is willing to learn new technologies like NodeJS, AWS Cloud etc ( We will teach)…",0,,1
Artificial Intelligence & Machine Learning,Lomaa IT Solutions,"Visakhapatnam, Andhra Pradesh","15,000 - 20,000 a month","Machine learning and Deep Tech Programming (C and C++).Natural Language Processing, Speech Recognition, Computer Vision and Reinforcement Learning.",0,,1
Data Tagging Internship,Decimal Technologies,"Gurgaon, Haryana","15,000 a month","Help aggregate, clean, and organize data for machine learning applications 4.Only those students or freshers can apply who:Have relevant skills and interests.",3.3,,1
Data Scientist,Grameen Foundation,"Gurgaon, Haryana",-999,"Working knowledge of data mining principles: predictive analytics, cleansing, mapping, collecting data from multiple data systems on premises and cloud – based…",0,,1
AI - Machine Learning consultant,ANI Calls India Private Limited,"Noida, Uttar Pradesh","8,00,000 - 16,00,000 a year","Background in natural language processing and/or machine learning -.Strong Computer Science fundamentals (algorithms, data structures) -.",0,,13
Data Scientist - GAIA India job stage 5,Ericsson,"Bengaluru, Karnataka",-999,Assess the effectiveness of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.,4.1,,1
Application Software Developer,Secure Meters,"Udaipur, Rajasthan","27,000 a month","Personal protective equipment provided or required.Sanitising, disinfecting, or cleaning procedures in place.Experience* - 6 Months to 4 Years.",4,,1
Data Scientist / Machine Learning,ANI Calls India Private Limited,"Noida, Uttar Pradesh","8,00,000 - 16,00,000 a year","6-9 years of strong experience in data mining, machine learning and statistical analysis.Strong intuition for data and Keen aptitude on large scale data…",0,,13
Data scientist,Larsen & Toubro Infotech Limited,India,-999,Conduct research on cutting-edge techniques and tools in machine learning/deep learning/artificial intelligence ?Along with experience with Alteryx.,3.7,,1
Scientist C,Delhi University,"New Delhi, Delhi","80,000 a month","Please submit your CVI Bio-data through email (pradhancgmcp@gmail.com) by January 14, 2021.Delhi University Recruitment 2021: Application form Released at du…",4.4,,1
Data Scientist,Pion Global Pvt Ltd,"Bengaluru, Karnataka",-999,"Machine learning, data science, deep learning.Workmachine learning, data science , deep learning: 1 year (Required).3 to 12 yr of experience.",0,Total work: 3 yearsWorkmachine learning: data science : deep learning: 1 year,1
"Software Developer - ETL, Data Streaming",Torry Harris,"Bengaluru, Karnataka",-999,"An ETL developer who has minimum experience of 2 years in ETL, Data Integration or Data Streaming.Code/Data Pipeline/Graph develelopment.",4.1,,1
Junior Data Scientist,Soothsayer Analytics,"Hyderabad, Telangana",-999,1 year experience with open source machine learning tools built in Python or R.Execute your machine learning research with reliability and reproducibility.,0,,1
Software Developer,Brambles Group,"Bengaluru, Karnataka",-999,Good understanding of software design principles.Individuals fraudulently misrepresenting themselves as Brambles or BXB Digital representatives have scheduled…,0,,1
C++ Software developer,Allied Softech Pvt Ltd,"Baner, Pune, Maharashtra","25,000 - 45,000 a month",Expert in developing high quality software.Be able to work independently or in a team.We are an established and leading software product development company.,0,Total work: 2 yearsBachelor's,1
Junior Software Engineer,Amogha Tech,"Chennai, Tamil Nadu","15,000 a month",Develop quality software and web applications.Analyze and maintain existing software applications.Tech in Computer Science or related field / MCA.,0,Bachelor's,1
Jr. Data Scientist (Immediate Joiner)Mumbai,YORS HR Sevises Pvt Ltd,"Mumbai, Maharashtra","40,863 - 49,944 a month",Data scientist: 3 years (Preferred).Intermediate-level knowledge of machine learning and NLP algorithms.Use data visualization techniques to provide insights…,0,,1
Principal Data & Applied Scientist,Microsoft,"Bengaluru, Karnataka",-999,Strong knowledge and skills in machine learning software development and architectures for machine learning (with focus on deep learning).,4.2,,1
Python Programmer/Web Page Developer,"IntellaWaste, Inc.","New Delhi, Delhi",731 an hour,We use proprietary software to monitor trash container status and to handle billing and customer interactions.Pay: From ₹730.84 per hour.,0,,1
Ionic and Spring Boot Developer,Aasaan Services Solutions Pvt. Ltd.,"Delhi, Delhi","15,000 - 30,000 a month",Software development: 1 year (Preferred).Good exposure to design and development of the hybrid mobile app using Ionic Framework and Cordova.,0,,1
Opening For Fresher Software Developer(Training),Rss Infotech Pvt. Ltd.,"Moti Nagar, Delhi",-999,"Sanitising, disinfecting, or cleaning procedures in place.Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.",0,Work: 1 year,1
Data Scientist,AgEye Technologoes,"Bengaluru, Karnataka","5,00,000 - 8,00,000 a year",At least 2 years of experience in machine learning and data engineering either in academic or industrial domain.Position Type: Full-time – Permanent.,0,4: 2 years,1
Data Scientist - WAVE,McKinsey & Company,"Gurgaon, Haryana",-999,"The team is composed of data scientists and data engineers who work across a variety of industries, functions and analytics methodologies and platforms – e.g.…",4.3,,1
Data Scientist (1-3 yrs),Valiance Solutions,"Noida, Uttar Pradesh",-999,Hands-on with R & Python with application of varied machine learning algorithms i.e.Drawing actionable recommendations from data for senior management.,0,,1
Acedimic Officer/Curriculum Developer -Female,Global Kidz,"Ghaziabad, Uttar Pradesh",-999,JOB DESCRIPTION : Required the female candidate for academic office for monthly curriculum development of existing various branches.,0,,1
Data Analyst Developer,Corceptual Systems India Pvt. Ltd,"Chennai, Tamil Nadu","9,00,000 a year","Working experience in any data analytical tool.Data analysis, data analytical tool: 3 years (Required).We are looking for Data Analysts with the below skill…",0, Oracle/SQL : 3 years Python: 3 yearsData analysis: data analytical tool: 3 years,1
Data Scientist,Donaldson,"Gurgaon, Haryana",-999,Develop and transfer data engineering and machine learning tools to either internal customers and / or external customers.Come make a World of Difference!,0,,1
Artificial Intelligence/ Machine Learning,Aarika Hr Professionals Private Limited,India,-999,"Must have 4+ years of expert-level understanding of Artificial Intelligence technologies including some or all of knowledge representation & reasoning (KRR),…",0,,1
Software Developer Trainee Freshers only,Mozilor,"Calicut Reg Engg College, Kerala",-999,Work with our team to Develop and maintain Web Applications/WordPress plugins that will be used by thousands of users across the world.,0,,1
Software Engineer (Machine Learning Developer),GLOBALFOUNDRIES,"Bengaluru, Karnataka",-999,Develop machine learning models and business intelligence visualizations for manufacturing or business teams.MS in Computer Science or equivalent.,3.3,,1
Business Intelligence Developer,McGraw Hill,"Noida, Uttar Pradesh",-999,"Experience in developing and delivering successful data warehousing projects for reporting.You will design, develop and administer business intelligence / data…",3.9,,1
Software Engineer I,Philips,"Bengaluru, Karnataka",-999,"Knowledge on the software tools like GitHub, Sonar, Jenkins, etc.Please do not submit resumes or applications to this email, as they will not be reviewed.",4,,1
Intern - Machine Learning and Deep Learning,XSDF,"Chennai, Tamil Nadu","96,000 - 1,20,000 a year","Verifying data quality, and/or ensuring it via data cleaning.Proficiency with a deep learning framework such as TensorFlow or Keras.",0,,1
Sr. Professional - Data Scientist / Analytics,Sutherland,India,-999,"Have excellent knowledge of one or more statistical programming language, preferably open source languages R or Python.Data Scientists in this role get to:",3.6,,1
Lead Data Scientist,Aleron,"Bengaluru, Karnataka",-999,"8+ years of relevant experience in analytics, machine learning.Supervise delivery of ongoing projects, build and lead a team of analysts/data engineers/data…",0,,1
Software Engineering Intern (6 months),Shipsy,"Gurgaon, Haryana",-999,"Bachelor’s degree Computer Science or equivalent and extraordinary software engineering talent.Experience with web applications, databases, distributed systems…",0,,1
Senior Data Scientist,Samaira HR Solutions,"Thane, Maharashtra","20,00,000 - 30,00,000 a year","Experience with big data analytics and advanced machine learning to analyze data.Good expertise in data analytics, data cleansing and data enrichment.",0,Data Science: 4 yearsBehavioral Analytics : 4 yearsBig data analytics : 2 years,1
Website Developer,Kytero Immigration Pvt Ltd,"Pitampura, Delhi","3,50,000 - 6,00,000 a year","Website and software application designing, building, or maintaining.Directing or performing Website updates.Salary: ₹350,000.00 - ₹600,000.00 per year.",0,6: 3 yearsBachelor's,2
Ionic Developer,Mobiloitte,"New Delhi, Delhi","12,422 - 53,226 a month","Experience on Ionic 5 Framework.Good Knowledge on jQuery, jQuery mobile & Bootstrap.Good Knowledge on CSS and CSS3.0.Good to have experience in Angular.",3.4,Angular: 2 yearsIonic: 2 yearsTotal work: 2 years,1
Data Scientist,Ank Aha,"New Delhi, Delhi",-999,Ensure data integrity and consistency across relevant data systems.Support in providing data analytics for all data and technology related projects esp.,0,,1
Data Scientist DA4AD,Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",-999,"Selecting features, building and optimizing classifiers using machine learning and Deep Learning techniques.Processing, cleansing, and verifying the integrity…",4,,1
Python Developer,tyutee,"Bengaluru, Karnataka","40,000 - 80,000 a month","Forget the huge upskilling costs, Focus on learning and getting certified at ZERO Upfront cost, leaving the burden of getting you placed on us.",0,Language: EnglishBachelor's,1
Data Scientist Intern,Salasar New Age Technologies,"Noida, Uttar Pradesh",-999,"Work on OpenCV, SimpleCV or ilastik.Hiring interns with a tremendous desire to learn new/futuristic technologies by continuous research and experimentation,…",0,,1
Development Scientist (Assay Development-Flow Cytometry),Beckman Coulter Life Sciences,"Bengaluru, Karnataka",-999,Follows standard practices and procedures in analyzing situations or data from which answers can be readily obtained.Adheres to policies and procedures.,3.7,,1
Senior Data Scientist,Morningstar,"Mumbai, Maharashtra",-999,"Improve complex data flow, data structures and db design to move to next platform.Experience with Agile software engineering practices.",3.9,,1
Python Developer,A.H & Associates,"Jaipur, Rajasthan","20,000 a month","Implement security and data protection solutions.BSc in Computer Science, Engineering or relevant field.Sanitising, disinfecting, or cleaning procedures in…",0,,1
Data Analyst,Honeywell,"Bengaluru, Karnataka",-999,"Perform data profiling to understand data domains, validation rules and data dependencies.Configure Informatica MDM Modules for data cleansing, data matching,…",3.7,,1
Machine Learning,OakNorth Bank,"Hyderabad, Telangana",-999,We are looking for a passionate machine learning and/or software engineer who will be joining the fastest growing and profitable fintech in Bangalore.,0,,1
MVC Developer,Agarwal Packers and Movers Ltd,"Delhi, Delhi","30,000 - 60,000 a month","Software development: 4 years (Preferred).Exposure in Query, AJAX & JSON or any JavaScript (Libraries /JQuery/Node.Net, Web API, Entity framework,.",3.5,,1
Data Scientist II,NCR,"Gurgaon, Haryana",-999,"Knowledge of a variety of machine learning techniques (regression, clustering, decision tree learning, artificial neural networks).",3.6,,1
E-Learning Developer,Knotopian,"Chennai, Tamil Nadu","8,000 - 10,000 a month","Computer science background (B.Sc, M.Year of pass out (Any academic year).The Candidates should have good English communication skills.",0,,1
Research Data Scientist,Sequretek Pvt. Ltd.,"Mumbai, Maharashtra",-999,"Sequretek Research Lab, core research centre of Sequretek, is seeking passionate researchers to tackle a variety of problems that impact the bleeding edge of…",0,Bachelor's,1
C# Developer,Megna super It solutions private limited,"Madhapur, Hyderabad, Telangana","7,00,000 a year","Bachelor’s Degree; or 4-6 years related experience and/or training; or equivalent combination of education and experience.Salary: Up to ₹700,000.00 per year.",0,.net: 3 yearsC#: 3 years,1
Associate Software Test Engineer,Inncrewin Technologies PVT LTD,"Bengaluru, Karnataka","1,56,000 a year","Should have Excellent Programming skills, Java or c#.E Graduate in Computer Science/Electrical/Electronics & Communications/IT.Job Types: Full-time, Fresher.",3.8,Bachelor's,1
Content Developer - Social Science,APC Books,"Karol Bagh, Delhi, Delhi",-999,Arya Publications is looking for a content developer who can develop high quality content of social science textbooks for classes 3-5 & 6-8.,0,,1
Backend Developer,Skill-Lync,"Chennai, Tamil Nadu","1,50,000 - 5,00,000 a year","Collaborate with front end developers and web designers to improve the usability.Fluency or understanding of specific languages, such as Java, PHP, Python, and…",0,,1
Data Scientist - Immediate For Altimetrik,Altimetrik India Private Limited,"Chennai, Tamil Nadu","14,00,000 - 22,50,000 a year","Data scientists whoever can perform data trend analysis and anomaly detection will be the fit, please share the resumes.DETAILS OF THE CURRENT OPPORTUNITY.",4,,1
Software Developer,YDTTech Digital,"Hyderabad, Telangana","12,000 - 20,000 a month",\* Have no trouble integrating multiple data sources into a frontend build.YDT Tech is your platform for next-generation digital services.,0,,1
Applied Scientist (Machine Learning),3rd.Life,India,-999,"Strong grasp of machine learning, data mining and data analytics techniques.Experience in using Perl or Python (or similar scripting language) for data…",0,,1
Full Stack Developer Intern,Summence Technologies,"Delhi, Delhi","5,000 - 15,000 a month","Full stack developer intern who could work on Python and Javascript technologies.Job Types: Full-time, Fresher.Salary: ₹5,000.00 - ₹15,000.00 per month.",0,,1
Data Scientist,Aretove,"Pune, Maharashtra",-999,Exposure to cloud-based machine learning platforms such as Spark MLlib or Azure ML etc would be an added advantage.Send your resume to careers@aretove.com.,0,,1
Machine Learning Developer,Punchh,"Jaipur, Rajasthan",-999,A solid understanding of statistical modeling/machine learning/data mining.Gather data and transform them into key data systems.This is a full-time role.,0,,1
Magento Developer,Ace Rooms,"Delhi, Delhi","35,000 - 75,000 a month",Magento 2 Developer with minimum 3 years of experience with production web applications.Must have good understanding & ability to develop custom modules where…,0,,1
Software Developer,i2k2 Networks,"Noida, Uttar Pradesh",-999,"Knowledge on DI, IOC, Design Patterns.Web API (Knowledge of REST Based API design is a must).SQL Server - Knows how to write queries and stored procedures.",3.9,,1
Junior Software Engineer,megna super It solutions private limited,"Madhapur, Hyderabad, Telangana","10,000 - 15,000 a month","We are looking for Jr. Software Engineers-Hyderabad.Year of Pass-out: 2013-2020.Salary: ₹10,000.00 - ₹15,000.00 per month.",0,,1
Sr.Data Scientist,Innefu Labs Pvt. Ltd.,"Delhi, Delhi",-999,"Must be able to handle deployment complexities like big data management, model integration to existing environment.More than 100+ clients in India.",3.5,,1
AI & Machine Learning expert,F-Trend,"New Delhi, Delhi",-999,"We are Looking for a candidate/developer expert in AI and Machine learning mobile, having expertise in image recognition and its application in fashion industry…",0,,1
Software Developer (Fresher),Helm Infosystem,"Mohali, Punjab","10,000 - 20,000 a month","We are looking for software developers who love challenges technically.Sanitising, disinfecting, or cleaning procedures in place.",0,,1
Python/Django Developer,Bonami Software Pvt. Ltd.,"Pitampura, Delhi","15,000 a month","Bonami Software is an offshore software development agency.Sanitising, disinfecting, or cleaning procedures in place.Experience: 1 year",0,Bachelor's,1
Windows GUI/Qt/Qml Software Developer,Enpass,"Gurgaon, Haryana","10,00,000 - 12,00,000 a year",\* Experience in software development for mobile or tablet devices.Enpass Technologies Pvt. Ltd. (Gurugram) is seeking for an experienced Windows C++ GUI…,0,,1
Junior Software Developer intern,Shiash Info Solutions Private Limited,"Chennai, Tamil Nadu","5,000 a month",We are Hiring for Junior Software Developer Intern Role in our Organization.Good understanding of basic programming language.Motive to learn something new.,3.7,,1
Data Scientist,Zestmoney,Karnataka,-999,"3+ years business experience including analytics, data mining and/or predictive data modelling experience.Apply advanced statistical and data mining techniques…",0,,1
PHP SOFTWARE DEVELOPER,Fujiyama Power Systems Pvt. Ltd,"Delhi, Delhi","40,000 - 60,000 a month","Having 4-6 years experience in PHP with Laravel Framework.HTTP Method ( Get , Post , Put Delete ).Salary: ₹40,000.00 - ₹60,000.00 per month.",0,6: 4 yearsBachelor's,1
Training & Education Content Developer,Eplatform Tech,"Gurgaon, Haryana","35,000 - 75,000 a month",Experience in developing Education course content and Training material; setting exams including MCQ's and Quizzes; evaluating performance; Knowledge and…,0,,1
AI/ML Developer with Voice Recognition,eProSoft India Pvt. Ltd.,"Visakhapatnam, Andhra Pradesh","1,00,000 a month",Machine learning: 4 years (Preferred).3-5 years of experience with scalable AI (artificial intelligence) & ML (machine learning) technologies.,0,,1
DATA SCIENTIST,Innefu Labs Pvt. Ltd.,"Delhi, Delhi",-999,"Selecting features, building and optimizing models using machine learning techniques.Experience with GPU/DSP/ISP/SoC architecture and system software.",3.5,,1
HTML/XHTML/XML Developer,Supercure Pvt Ltd,"Mumbai, Maharashtra","12,000 - 20,000 a month",Highly skilled - UI developer should be highly skilled in Web Design and implementation with a passion for building great web-based user interfaces.,0,Bachelor's,1
Wordpress Developer,FLUIDLABS,Remote,"20,000 a month",Meeting with clients to discuss website design and function.Designing and building the website front-end.Designing and managing the website back-end including…,0,,1
Developer- Machine Learning & Computer Vision,Drishti Tech,"Mahal, Andhra Pradesh",-999,"Design & implement machine learning software solutions.Hands on experience developing,releasing & maintaining software applications.",0,,1
DATA SCIENTIST,Maxbyte Technologies Private Limited,"Coimbatore, Tamil Nadu",-999,"As a research scientist/engineer part of Data Science and Artificial Intelligence team, the data scientist will be working primarily on unstructured text data…",0,Data structure:algorithm:compression technique: 2 yearsClassification of regression:SVM:tree model evaluations: 1 year,1
Data Scientist-Advanced Analytics,Harjai Computers Private Limited,"Mumbai, Maharashtra",-999,"Data scientists in banking Domain.Data scientists to be experts in analytics , skilled in both tool, technology and statistical techniques to find trends and…",0,,1
Sr. Software Developer,Atlanta Systems Pvt Ltd,"Delhi, Delhi","30,000 - 40,000 a year","Deploying software tools, processes and metrics.Researching, designing, implementing and managing software programs.Testing and evaluating new programs.",0,,1
Angular Developer - Fresher,Innovatily,"Bengaluru, Karnataka","5,00,000 a year",You need to possess good communication skills and strong inclination to work with data and algorithms.We are looking to onboard passionate individuals with…,0,,1
"Customer Engineer, Machine Learning, Google Cloud",Google,"Mumbai, Maharashtra",-999,"Experience with building machine learning solutions and leveraging specific machine learning architectures (e.g., deep learning, LSTM, convolutional networks,…",4.3,,1
